NAME,fuelType,registrations,min_price,max_price,avg_price,med_price,frac_bev_nearby,frac_ice_nearby,frac_phev_nearby,frac_other_nearby,frac_nearby
MINI MINI,ICE,1497,27200.0,52900.0,38742.59259259259,40200.0,0.17755575422234035,0.7667625099668978,0.055681735810761836,0.0,0.7667625099668978
MITSUBISHI COLT,ICE,310,21190.0,24190.0,22723.333333333332,22790.0,0.07232029918055326,0.9276797008194467,0.0,0.0,0.9276797008194467
NISSAN JUKE,ICE,389,24950.0,31850.0,29320.0,30050.0,0.10671465031305657,0.8926794337440097,0.0006059159429337348,0.0,0.8926794337440097
OPEL CORSA,BEV,491,29990.0,33385.0,31703.333333333332,31687.5,0.1055610355589334,0.8921265826878608,0.002312381753205802,0.0,0.1055610355589334
OPEL CORSA,ICE,3516,22890.0,30400.0,26887.5,27035.0,0.11757201646090534,0.8824279835390947,0.0,0.0,0.8824279835390947
PEUGEOT 208,BEV,148,36525.0,41025.0,38600.0,38425.0,0.17378357995474997,0.7719813798663303,0.05423504017891972,0.0,0.17378357995474997
PEUGEOT 208,ICE,767,24130.0,32385.0,28113.333333333332,28015.0,0.11054460739382829,0.8894553926061717,0.0,0.0,0.8894553926061717
RENAULT CLIO,ICE,632,19350.0,23000.0,20668.0,20250.0,0.10866870506569705,0.891331294934303,0.0,0.0,0.891331294934303
RENAULT R4,BEV,168,29400.0,36400.0,33150.0,33400.0,0.10415622807896582,0.8800481010121255,0.01579567090890871,0.0,0.10415622807896582
RENAULT R5,BEV,552,27900.0,155000.0,47287.5,32150.0,0.10066500913638679,0.892145702902675,0.007189287960938202,0.0,0.10066500913638679
SEAT IBIZA,ICE,1860,18830.0,32620.0,25900.277777777777,25760.0,0.11066385112841494,0.8893361488715851,0.0,0.0,0.8893361488715851
SKODA FABIA,ICE,1618,19690.0,30310.0,25285.625,25660.0,0.11407128605115183,0.8859287139488482,0.0,0.0,0.8859287139488482
SUZUKI SWIFT,ICE,674,20000.0,24750.0,22818.75,22975.0,0.07232029918055326,0.9276797008194467,0.0,0.0,0.9276797008194467
TOYOTA YARIS,ICE,2532,51990.0,54490.0,53240.0,53240.0,0.2924100732898006,0.5542307068033411,0.15335921990685827,0.0,0.5542307068033411
VW POLO,ICE,2660,20135.0,35980.0,28312.63157894737,28480.0,0.11527968616205668,0.8847203138379434,0.0,0.0,0.8847203138379434
AUDI A3,PHEV,905,44200.0,47700.0,45870.0,46000.0,0.18427372853560736,0.7147920479913666,0.10093422347302601,0.0,0.10093422347302601
AUDI A3,ICE,1996,31300.0,68000.0,45364.516129032265,39200.0,0.1769102576858024,0.7709680628793155,0.0521216794348821,0.0,0.7709680628793155
BMW 1ER,ICE,2124,33600.0,59600.0,43585.71428571429,42925.0,0.18255734624719,0.7397134644850302,0.07772918926777986,0.0,0.7397134644850302
BMW 2ER,PHEV,56,48500.0,56000.0,52375.0,52250.0,0.2991833704528582,0.5388475027519648,0.16196912679517703,0.0,0.16196912679517703
BMW 2ER,ICE,1351,36200.0,115000.0,49059.466374269,46850.0,0.21288647876074573,0.6812745654412846,0.1058389557979696,0.0,0.6812745654412846
BYD DOLPHIN,BEV,9,22990.0,36640.0,30450.0,30990.0,0.10442316461468308,0.8931617435949402,0.002415091790376788,0.0,0.10442316461468308
CITROEN C4,BEV,17,31900.0,37300.0,34366.666666666664,34100.0,0.10778712203890352,0.8760223406304166,0.01619053733067985,0.0,0.10778712203890352
CITROEN C4,ICE,882,23990.0,30770.0,27764.166666666668,27920.0,0.11054460739382829,0.8894553926061717,0.0,0.0,0.8894553926061717
DACIA SANDERO,ICE,1840,12490.0,19490.0,15990.0,16140.0,0.08947828621393179,0.9105217137860682,0.0,0.0,0.9105217137860682
DS 4,BEV,3,45900.0,51100.0,48633.333333333336,48900.0,0.2464084201388889,0.6236328125,0.12995876736111112,0.0,0.2464084201388889
DS 4,ICE,19,38640.0,47640.0,42940.0,42740.0,0.1851814162794116,0.736734393903418,0.07808418981717039,0.0,0.736734393903418
FIAT TIPO,ICE,42,19990.0,20490.0,20240.0,20240.0,0.10967472894078399,0.890325271059216,0.0,0.0,0.890325271059216
FORD FOCUS,ICE,1135,32100.0,49850.0,37437.28991596639,36962.5,0.16506349085171895,0.79520065144922,0.039735857699060996,0.0,0.79520065144922
HONDA CIVIC,ICE,59,58900.0,65900.0,62400.0,62400.0,0.2777076040275723,0.5517701829730413,0.17052221299938647,0.0,0.5517701829730413
HYUNDAI I 30,ICE,544,27990.0,35150.0,31710.0,31820.0,0.10553389992970796,0.8921816090485015,0.00228449102179053,0.0,0.8921816090485015
KIA CEED,ICE,1279,27390.0,33990.0,30034.444444444445,29690.0,0.10684840548167548,0.8931515945183245,0.0,0.0,0.8931515945183245
MAZDA 3,ICE,443,28640.0,70250.0,48401.65064102564,48607.5,0.2281076595965358,0.6476689311829072,0.12422340922055697,0.0,0.6476689311829072
MAZDA MX-5,ICE,143,33190.0,42190.0,37790.0,37890.0,0.16846301682942033,0.7773737793476002,0.05416320382297943,0.0,0.7773737793476002
MERCEDES A-KLASSE,PHEV,125,44274.0,56977.0,50067.5,50161.5,0.26863133398225536,0.5869723313082491,0.14439633470949553,0.0,0.14439633470949553
MERCEDES A-KLASSE,ICE,1229,37640.0,64903.0,52264.01169590643,47368.0,0.21902769390044,0.670455525839013,0.11051678026054698,0.0,0.670455525839013
MG ROEWE 4,BEV,476,35640.0,42640.0,39640.0,40640.0,0.17244080880235035,0.757370816291261,0.07018837490638861,0.0,0.17244080880235035
OPEL ASTRA,PHEV,518,38460.0,48760.0,43350.0,42830.0,0.18264722666696506,0.740077655562891,0.07727511777014401,0.0,0.07727511777014401
OPEL ASTRA,BEV,89,37990.0,42560.0,40275.0,40275.0,0.17720038582107547,0.7652278755727031,0.05757173860622136,0.0,0.17720038582107547
OPEL ASTRA,ICE,1726,29390.0,38760.0,35075.0,35045.0,0.11429325424751181,0.8543028048657887,0.03140394088669951,0.0,0.8543028048657887
PEUGEOT 308,PHEV,66,41045.0,45745.0,43395.0,43395.0,0.18442609059170462,0.736416328651971,0.07915758075632436,0.0,0.07915758075632436
PEUGEOT 308,BEV,26,42435.0,49790.0,45713.333333333336,44915.0,0.18347914765713058,0.7247061349363964,0.09181471740647308,0.0,0.18347914765713058
PEUGEOT 308,ICE,333,34110.0,41980.0,37735.0,37115.0,0.1658569638702089,0.7941266716101153,0.04001636451967578,0.0,0.7941266716101153
RENAULT MEGANE,BEV,35,40900.0,44900.0,42900.0,42900.0,0.18255734624719,0.7397134644850302,0.07772918926777986,0.0,0.18255734624719
SEAT BORN,BEV,1134,40450.0,52870.0,45975.0,45645.0,0.18274451468947564,0.7241141157095043,0.09314136960102003,0.0,0.18274451468947564
SEAT LEON,PHEV,723,38925.0,44220.0,41653.125,41602.5,0.16784136829245372,0.7585988159007612,0.07355981580678507,0.0,0.07355981580678507
SEAT LEON,ICE,2397,28530.0,41120.0,35093.75,34978.75,0.10962745865915437,0.8588031683068255,0.03156937303402014,0.0,0.8588031683068255
SKODA OCTAVIA,ICE,2559,27790.0,48570.0,37448.57142857143,37235.0,0.1717868587621494,0.7849651738658333,0.04324796737201727,0.0,0.7849651738658333
SKODA SCALA,ICE,441,24390.0,35860.0,30378.88888888889,30460.0,0.11249930487330158,0.8848499453166997,0.0026507498099987026,0.0,0.8848499453166997
SUBARU IMPREZA,ICE,17,35260.0,37870.0,36565.0,36565.0,0.10313335017215479,0.8616912380521915,0.035175411775653725,0.0,0.8616912380521915
SUZUKI SWACE,ICE,97,37190.0,37190.0,37190.0,37190.0,0.16485583215787936,0.7953693467017396,0.03977482114038097,0.0,0.7953693467017396
TOYOTA COROLLA,ICE,940,33340.0,48890.0,39631.36363636364,39040.0,0.17710408366533864,0.7709661354581673,0.051929780876494025,0.0,0.7709661354581673
TOYOTA PRIUS,PHEV,20,45990.0,53490.0,49156.666666666664,47990.0,0.22612091860646774,0.6503671301359163,0.12351195125761599,0.0,0.12351195125761599
VW GOLF,PHEV,477,44205.0,48490.0,45993.75,45640.0,0.18274451468947564,0.7241141157095043,0.09314136960102003,0.0,0.09314136960102003
VW GOLF,ICE,4155,29395.0,60235.0,39294.78571428571,38827.5,0.1751671774003449,0.7730853690309294,0.05174745356872573,0.0,0.7730853690309294
VW ID.3,BEV,2350,33330.0,57520.0,44596.6,45327.5,0.184644513054423,0.7210538205837107,0.09430166636186624,0.0,0.184644513054423
ALFA ROMEO GIULIA,ICE,85,56000.0,66500.0,61333.333333333336,61500.0,0.2759805832122737,0.5454770931509761,0.17854232363675016,0.0,0.5454770931509761
AUDI A4,ICE,68,33240.0,142905.0,60115.4192031283,48012.5,0.22612091860646774,0.6503671301359163,0.12351195125761599,0.0,0.6503671301359163
AUDI A5,PHEV,365,62500.0,80490.0,71495.0,71495.0,0.1841938390681841,0.5614925074258252,0.2543136535059907,6.674899042151987e-05,0.2543136535059907
AUDI A5,ICE,1340,45200.0,81660.0,60836.875,59070.0,0.26748758749487556,0.557689679780143,0.1748227327249814,0.0,0.557689679780143
BMW 3ER,PHEV,372,42150.0,72170.0,55773.333333333336,55885.0,0.31712479166115504,0.5248683827614488,0.15800682557739623,0.0,0.15800682557739623
BMW 3ER,ICE,2101,46600.0,152900.0,66282.67948717948,61765.0,0.2923406011933801,0.5185574361091305,0.1891019626974894,0.0,0.5185574361091305
BMW 4ER,BEV,742,57600.0,72900.0,65524.444444444445,65020.0,0.2515713280842277,0.5066143268816229,0.24181434503414945,4.5381316511992015e-05,0.2515713280842277
BMW 4ER,ICE,624,53300.0,112700.0,71173.39285714286,68270.0,0.22255793250424882,0.5056246459305619,0.27181742156518923,5.3953438182848204e-05,0.5056246459305619
BYD SEAL,PHEV,41,39990.0,49990.0,45156.666666666664,44490.0,0.1822849529339125,0.7378814302891125,0.079833616776975,0.0,0.079833616776975
BYD SEAL,BEV,239,42990.0,52990.0,47690.0,46990.0,0.21858342145585602,0.670846192027969,0.11057038651617498,0.0,0.21858342145585602
CITROEN C5,PHEV,4,38990.0,42990.0,40990.0,40990.0,0.169532018550616,0.7591230617885417,0.07134491966084228,0.0,0.07134491966084228
CITROEN C5,ICE,677,33990.0,46000.0,39806.0,39990.0,0.17813249945458512,0.7660048966135796,0.05586260393183526,0.0,0.7660048966135796
GWM ORA 07,BEV,4,41990.0,53490.0,46656.666666666664,44490.0,0.1822849529339125,0.7378814302891125,0.079833616776975,0.0,0.1822849529339125
HYUNDAI G70,ICE,18,40280.0,53080.0,48275.25,49075.0,0.2515368682225496,0.6157995591541964,0.13266357262325407,0.0,0.6157995591541964
HYUNDAI IONIQ6,BEV,53,43900.0,75000.0,57400.0,57100.0,0.2682871260341464,0.5825679581927179,0.14914491577313568,0.0,0.2682871260341464
MAZDA 6,BEV,153,44900.0,48500.0,46700.0,46700.0,0.21249790198053037,0.6835242531050688,0.1039778449144008,0.0,0.21249790198053037
