NAME,fuelType,min_price,max_price,avg_price,med_price
BMW X6,Diesel,97500.0,106450.0,101975.0,101975.0
BMW X6,Super Plus,102200.0,170800.0,125037.5,113575.0
BMW X7,Diesel,107900.0,115250.0,112083.33333333333,113100.0
BMW X7,Super Plus,105900.0,137100.0,116837.5,112175.0
BMW XM,Super Plus,133800,183400,158600.0,158600.0
BMW Z4,Super Plus,50700,76200,60271.42857142857,56150.0
BMW i3,Strom,37550.0,48100.0,42400.0,41875.0
BMW i3,Strom / Super Plus,42150.0,45750.0,43950.0,43950.0
BMW i4,Strom,57600,72900,65524.444444444445,65020.0
BMW i5,Strom,70200,101500,80142.85714285714,77600.0
BMW i7,Strom,115700,183150,146043.75,143500.0
BMW iX1,Strom,48800,63690,55947.5,56245.0
BMW iX2,Strom,50300,63960,57435.0,57225.0
BMW iX3,Strom,68900,75400,72333.33333333333,72700.0
BYD ATTO 2,Strom,31990,34990,33490.0,33490.0
BYD ATTO 3,Strom,38990,40990,39990.0,39990.0
BYD DOLPHIN,Strom,22990,36640,30450.0,30990.0
BYD DOLPHIN SURF,Strom,22990,30990,26990.0,26990.0
BYD SEAL,Strom,42990.0,52990.0,47690.0,46990.0
BYD SEAL,Super / Strom,39990.0,49990.0,45156.666666666664,44490.0
BYD SEAL U,Strom,42990.0,46490.0,44740.0,44740.0
BYD SEAL U,Super / Strom,39990.0,45990.0,42990.0,42990.0
BYD SEALION 7,Strom,49990,60990,55656.666666666664,55990.0
BYD TANG,Strom,75000,75000,75000.0,75000.0
CITROEN BERLINGO,Diesel,23540.0,33439.0,28560.6875,28709.0
CITROEN BERLINGO,Strom,34390.0,40540.0,37773.0,37723.0
CITROEN BERLINGO,Super,25823.0,25823.0,25823.0,25823.0
CITROEN C3,Strom,19990.0,32890.0,26705.416666666668,26811.0
CITROEN C3,Super,15990.0,27590.0,21772.222222222223,21100.0
CITROEN C4,Strom,31900.0,37300.0,34366.666666666664,34100.0
CITROEN C4,Super,23990.0,30770.0,27764.166666666668,27920.0
CITROEN C5,Strom,42590.0,48590.0,45256.666666666664,44590.0
CITROEN C5,Super,33990.0,46000.0,39806.0,39990.0
CITROEN C5,Super / Strom,38990.0,42990.0,40990.0,40990.0
CITROEN JUMPER,Diesel,36747.0,54026.0,45449.45911949685,45851.0
CITROEN JUMPER,Strom,64260.0,80182.0,67740.72222222222,66164.0
CITROEN JUMPY,Diesel,37485.0,52955.0,44479.555555555555,44208.5
CITROEN JUMPY,Strom,44230.0,60690.0,51122.142857142855,50730.0
CUPRA BORN,Strom,40450,52870,45975.0,45645.0
CUPRA FORMENTOR,Diesel,45735.0,45735.0,45735.0,45735.0
CUPRA FORMENTOR,Super,41115.0,64200.0,52455.555555555555,51890.0
CUPRA FORMENTOR,Super / Strom,49290.0,61010.0,54750.0,54350.0
CUPRA TAVASCAN,Strom,53340,57910,55625.0,55625.0
CUPRA TERRAMAR,Super,43020.0,56620.0,49580.0,49100.0
CUPRA TERRAMAR,Super / Strom,51120.0,57530.0,54325.0,54325.0
DACIA BIGSTER,Flüssiggas,23990.0,27490.0,26040.0,26340.0
DACIA BIGSTER,Super,23990.0,30890.0,26800.0,27290.0
DACIA BIGSTER,Super / Strom,28890.0,30990.0,30223.333333333332,30790.0
DACIA DUSTER,Flüssiggas,18990.0,22390.0,21165.0,21640.0
DACIA DUSTER,Super,18990.0,27690.0,23530.0,23040.0
DACIA DUSTER,Super / Strom,25890.0,28990.0,27415.0,27390.0
DACIA JOGGER,Flüssiggas,17990.0,22290.0,20115.0,20090.0
DACIA JOGGER,Super,17990.0,22290.0,20406.666666666668,20540.0
DACIA JOGGER,Super / Strom,24490.0,27290.0,25923.333333333332,25890.0
DACIA SANDERO,Flüssiggas,13290.0,18190.0,15890.0,15990.0
DACIA SANDERO,Super,12490.0,19490.0,16090.0,16290.0
DACIA SPRING,Strom,16900,19900,18400.0,18400.0
DS 3,Strom,41500.0,47300.0,44100.0,43500.0
DS 3,Super,33190.0,38990.0,35790.0,35190.0
DS 4,Strom,45900.0,51100.0,48633.333333333336,48900.0
DS 4,Super,38640.0,47640.0,42940.0,42740.0
DS 4,Super / Strom,45900.0,54900.0,50200.0,50000.0
DS 7,Diesel,48910.0,53810.0,50960.0,50560.0
DS 7,Super / Strom,54310.0,69210.0,60054.444444444445,59410.0
DS 8,Strom,57700,81000,69762.5,69550.0
DS AUTOMOBILES,Diesel,48910.0,53810.0,50960.0,50560.0
DS AUTOMOBILES,Strom,41500.0,81000.0,59735.71428571428,60450.0
DS AUTOMOBILES,Super,33190.0,47640.0,39875.71428571428,38990.0
DS AUTOMOBILES,Super / Strom,45900.0,69210.0,57022.307692307695,56910.0
DS AUTOMOBILES 3,Strom,41500.0,47300.0,44100.0,43500.0
DS AUTOMOBILES 3,Super,33190.0,38990.0,35790.0,35190.0
DS AUTOMOBILES 7,Diesel,48910.0,53810.0,50960.0,50560.0
DS AUTOMOBILES 7,Super / Strom,54310.0,69210.0,60054.444444444445,59410.0
DS AUTOMOBILES N°4,Strom,45900.0,51100.0,48633.333333333336,48900.0
DS AUTOMOBILES N°4,Super,38640.0,47640.0,42940.0,42740.0
DS AUTOMOBILES N°4,Super / Strom,45900.0,54900.0,50200.0,50000.0
DS AUTOMOBILES N°8,Strom,57700,81000,69762.5,69550.0
FERRARI 12CILINDRI,Super Plus,395000,435000,415000.0,415000.0
FERRARI 296,Super Plus / Strom,283185,310595,296890.0,296890.0
FERRARI PUROSANGUE,Super Plus,378873,378873,378873.0,378873.0
FERRARI ROMA,Super Plus,242316,242316,242316.0,242316.0
